network,address,normalizedAddress,trackedStatus,inDeployments,inOpenZeppelin,hasCode,creator,creationTxHash,files,keys
base-mainnet,0x48bcD6177f958C26fCc8D8e4B8088936bd20541e,0x48bcd6177f958c26fcc8d8e4b8088936bd20541e,deployments_only,true,false,true,,,deployments/deployment-base-mainnet-2026-02-08T03-53-20-799Z.json,dualPoolStaking
base-mainnet,0x7629FD045E1462C9DCD580d0aF31db6D46c5AB47,0x7629fd045e1462c9dcd580d0af31db6d46c5ab47,deployments_only,true,false,true,,,deployments/deployment-base-mainnet-2026-02-08T04-32-48-860Z.json|deployments/deployment-base-mainnet-latest.json,myntis|myntisImplementation
base-mainnet,0x7aFC88080C64748b2fcB73644BF04aDc2013D686,0x7afc88080c64748b2fcb73644bf04adc2013d686,deployments_only,true,false,true,,,deployments/deployment-base-mainnet-2026-02-08T03-53-20-799Z.json,liquidStakingVault|liquidStakingVaultImplementation
base-mainnet,0x803f9694bE31D3ACe5792C21ab9F72b69838C0e0,0x803f9694be31d3ace5792c21ab9f72b69838c0e0,deployments_only,true,false,true,,,deployments/deployment-base-mainnet-2026-02-08T04-32-48-860Z.json|deployments/deployment-base-mainnet-latest.json,emissionsContract
base-mainnet,0xa101ff8C9fb5c0143b19dBb37e6689eb25FE9863,0xa101ff8c9fb5c0143b19dbb37e6689eb25fe9863,deployments_only,true,false,true,,,deployments/deployment-base-mainnet-2026-02-08T04-32-48-860Z.json,dualPoolStakingImplementation
base-mainnet,0xb53DFD4142741C9469cf5052eD0d55dac3A85361,0xb53dfd4142741c9469cf5052ed0d55dac3a85361,deployments_only,true,false,true,,,deployments/deployment-base-mainnet-2026-02-08T03-53-20-799Z.json,groth16Verifier
base-mainnet,0xbebB59857bE6D1C05A0FB66a6E9721F1ba10c345,0xbebb59857be6d1c05a0fb66a6e9721f1ba10c345,deployments_only,true,false,true,,,deployments/deployment-base-mainnet-latest.json,dualPoolStakingImplementation
base-mainnet,0xdFb3b8107B33d54BAe402a76BbA1432668B2D896,0xdfb3b8107b33d54bae402a76bba1432668b2d896,deployments_only,true,false,true,,,deployments/deployment-base-mainnet-2026-02-08T04-32-48-860Z.json|deployments/deployment-base-mainnet-latest.json,globalSupplyRegistry
base-mainnet,0xFDF1Aa6FE61675Cab26e083f92ce9A7986bEaF6f,0xfdf1aa6fe61675cab26e083f92ce9a7986beaf6f,deployments_only,true,false,true,,,deployments/deployment-base-mainnet-2026-02-08T03-53-20-799Z.json,zkMerkleDistributor|zkMerkleDistributorImplementation
base-mainnet,0xfF52fdA700CaF238F9fE3bea3091E863aA00EADc,0xff52fda700caf238f9fe3bea3091e863aa00eadc,deployments_only,true,false,true,,,deployments/deployment-base-mainnet-2026-02-08T04-32-48-860Z.json|deployments/deployment-base-mainnet-latest.json,zkMerkleDistributor|zkMerkleDistributorImplementation
base-sepolia,0x00f87F9eb968dF179038Fc0BFE6fE13C11fe3d53,0x00f87f9eb968df179038fc0bfe6fe13c11fe3d53,deployments_only,true,false,true,0x89c6c4e7f952c1c07467e32ea2ff0660f6d4c627,0x6095fbe3b1f941e2d9f49f72273adf36599b313d93d8321dd8373179b764c29b,deployments/deployment-base-sepolia-2026-02-03T19-30-41-174Z.json,groth16Verifier
base-sepolia,0x01AD9e797234026c61E523BC9BaB2293Ac140F6a,0x01ad9e797234026c61e523bc9bab2293ac140f6a,deployments_only,true,false,true,0x0904192498efff59e0502ae1700ecaa9b1708543,0x0756ee54f995f9ac38dc86c2dab00b19900ffa84e6c42d4be8456793dc6e0e0b,deployments/base-sepolia-migration-latest.json|deployments/verification-1764758815943.json,deployment.zkMerkleDistributor|zkMerkleDistributor
base-sepolia,0x07D1599fc4D1693165Ff16052AA21A9D3E564772,0x07d1599fc4d1693165ff16052aa21a9d3e564772,openzeppelin_only,false,true,true,0x89c6c4e7f952c1c07467e32ea2ff0660f6d4c627,0xc19131189da3c9e8b35ffd69ef111c8ec9e8430f2c698d8600fba372d1e50af8,.openzeppelin/base-sepolia.json,proxies.14.address
